source_1,row_1,name_1,email_1,phone_1,source_2,row_2,name_2,email_2,phone_2,score,reasons,confidence,decision_reason
gig,4,Karan Bhatia,karan.bhatia32@mailtest.example.org,,cbnexus,14,KARAN BHATIA,,9000000211,35,"exact name, same city",MEDIUM,Exact name and same city; requires supporting evidence
gig,7,Isha Chopra,ISHA.CHOPRA95@MAILTEST.EXAMPLE.ORG,,cbnexus,18,Isha Chopra,,919000000138,35,"exact name, same city",MEDIUM,Exact name and same city; requires supporting evidence
gig,14,Sneha Chopra,sneha.chopra99@example.in,,cbnexus,24,Sneha Chopra,,+91-9000000162,35,"exact name, same city",MEDIUM,Exact name and same city; requires supporting evidence
gig,15,Deepak Nair,DEEPAK.NAIR44@EXAMPLE.COM,,cbnexus,25,DEEPAK NAIR,,919000000296,35,"exact name, same city",MEDIUM,Exact name and same city; requires supporting evidence
gig,10,Rahul Chopra,rahul.chopra70@example.com,,cbnexus,21,Rahul Chopra,,9000000137,35,"exact name, same city",MEDIUM,Exact name and same city; requires supporting evidence
gig,9,Vikram Saxena,vikram.saxena60@example.com,,cbnexus,20,Vikram Saxena,,9000000113,35,"exact name, same city",MEDIUM,Exact name and same city; requires supporting evidence
gig,18,Arjun Mehta,arjun.mehta77@mailtest.example.org,,cbnexus,5,Arjun Mehta,,+91-9000000131,35,"exact name, same city",MEDIUM,Exact name and same city; requires supporting evidence
gig,18,Arjun Mehta,arjun.mehta77@mailtest.example.org,,cbnexus,28,Arjun Mehta,,9000000272,35,"exact name, same city",MEDIUM,Exact name and same city; requires supporting evidence
naukri,33,Deepak Nair,deepak.nair44@example.com,9000000296.0,gig,32,Deepak Nair,DEEPAK.NAIR57@EXAMPLE.IN,,25,exact name,REVIEW,Potential match requires manual validation
naukri,9,Isha Chopra,isha.chopra95@mailtest.example.org,9000000138.0,cbnexus,24,Sneha Chopra,,+91-9000000162,25,"similar name (0.87), same city",REVIEW,Name similarity alone is insufficient for automatic merge
naukri,9,Isha Chopra,isha.chopra95@mailtest.example.org,9000000138.0,gig,14,Sneha Chopra,sneha.chopra99@example.in,,25,"similar name (0.87), same city",REVIEW,Name similarity alone is insufficient for automatic merge
naukri,22,Sneha Chopra,sneha.chopra99@example.in,919000000162.0,gig,7,Isha Chopra,ISHA.CHOPRA95@MAILTEST.EXAMPLE.ORG,,25,"similar name (0.87), same city",REVIEW,Name similarity alone is insufficient for automatic merge
naukri,22,Sneha Chopra,sneha.chopra99@example.in,919000000162.0,cbnexus,18,Isha Chopra,,919000000138,25,"similar name (0.87), same city",REVIEW,Name similarity alone is insufficient for automatic merge
gig,5,Arjun Mishra,arjun.mishra70@example.com,,cbnexus,15,Arjun Mishra,,919000000106,25,exact name,REVIEW,Potential match requires manual validation
gig,8,Meera Bhatia,meera.bhatia52@mailtest.example.org,,cbnexus,19,MEERA BHATIA,,919000000223,25,exact name,REVIEW,Potential match requires manual validation
gig,7,Isha Chopra,ISHA.CHOPRA95@MAILTEST.EXAMPLE.ORG,,cbnexus,24,Sneha Chopra,,+91-9000000162,25,"similar name (0.87), same city",REVIEW,Name similarity alone is insufficient for automatic merge
gig,6,Isha Kapoor,isha.kapoor54@example.com,,cbnexus,17,Isha Kapoor,,+91-9000000295,25,exact name,REVIEW,Potential match requires manual validation
gig,13,Varun Saxena,VARUN.SAXENA21@EXAMPLE.IN,,cbnexus,23,VARUN SAXENA,,919000000170,25,exact name,REVIEW,Potential match requires manual validation
gig,16,Gaurav Mehta,gaurav.mehta79@mailtest.example.org,,cbnexus,26,Gaurav Mehta,,9000000133,25,exact name,REVIEW,Potential match requires manual validation
gig,14,Sneha Chopra,sneha.chopra99@example.in,,cbnexus,18,Isha Chopra,,919000000138,25,"similar name (0.87), same city",REVIEW,Name similarity alone is insufficient for automatic merge
gig,11,Tanvi Gupta,tanvi.gupta31@example.com,,cbnexus,22,Tanvi Gupta,,9000000254,25,exact name,REVIEW,Potential match requires manual validation
gig,32,Deepak Nair,DEEPAK.NAIR57@EXAMPLE.IN,,cbnexus,25,DEEPAK NAIR,,919000000296,25,exact name,REVIEW,Potential match requires manual validation
