source_1,row_1,name_1,email_1,phone_1,source_2,row_2,name_2,email_2,phone_2,original_score,reasons,name_match,email_match,phone_match,normalized_phone_1,normalized_phone_2,decision,conflict_reason
naukri,29,Varun Saxena,varun.saxena21@example.in,9000000170.0,gig,13,Varun Saxena,VARUN.SAXENA21@EXAMPLE.IN,,95,"exact email, exact name, same city",True,True,False,9000000170,,APPROVE,
naukri,34,Rahul Chopra,rahul.chopra70@example.com,9000000137.0,cbnexus,21,Rahul Chopra,,9000000137,95,"exact phone, exact name, same city",True,False,True,9000000137,9000000137,APPROVE,
naukri,38,Tanvi Agarwal,tanvi.agarwal97@example.in,919000000148.0,gig,3,Tanvi Agarwal,tanvi.agarwal97@example.in,,95,"exact email, exact name, same city",True,True,False,9000000148,,APPROVE,
naukri,38,Tanvi Agarwal,tanvi.agarwal97@example.in,919000000148.0,cbnexus,13,Tanvi Agarwal,,919000000148,95,"exact phone, exact name, same city",True,False,True,9000000148,9000000148,APPROVE,
naukri,43,Neha Bhatia,neha.bhatia60@mailtest.example.org,9000000273.0,gig,17,Neha Bhatia,NEHA.BHATIA60@MAILTEST.EXAMPLE.ORG,,95,"exact email, exact name, same city",True,True,False,9000000273,,APPROVE,
naukri,40,Isha Kapoor,isha.kapoor54@example.com,919000000295.0,cbnexus,17,Isha Kapoor,,+91-9000000295,95,"exact phone, exact name, same city",True,False,True,9000000295,9000000295,APPROVE,
naukri,2,Tanvi Gupta,tanvi.gupta31@example.com,919000000254.0,gig,11,Tanvi Gupta,tanvi.gupta31@example.com,,85,"exact email, exact name",True,True,False,9000000254,,APPROVE,
naukri,4,Priya Singh,priya.singh61@mailtest.example.org,9000000287.0,cbnexus,11,Priya Singh,,9000000287,85,"exact phone, exact name",True,False,True,9000000287,9000000287,APPROVE,
naukri,32,Rohit Nair,rohit.nair32@mailtest.example.org,919000000268.0,cbnexus,2,Rohit Nair,,9000000268,85,"exact phone, exact name",True,False,True,9000000268,9000000268,APPROVE,
naukri,30,Gaurav Mehta,gaurav.mehta79@mailtest.example.org,9000000133.0,gig,16,Gaurav Mehta,gaurav.mehta79@mailtest.example.org,,85,"exact email, exact name",True,True,False,9000000133,,APPROVE,
naukri,29,Varun Saxena,varun.saxena21@example.in,9000000170.0,cbnexus,23,VARUN SAXENA,,919000000170,85,"exact phone, exact name",True,False,True,9000000170,9000000170,APPROVE,
naukri,33,Deepak Nair,deepak.nair44@example.com,9000000296.0,gig,15,Deepak Nair,DEEPAK.NAIR44@EXAMPLE.COM,,85,"exact email, exact name",True,True,False,9000000296,,APPROVE,
naukri,33,Deepak Nair,deepak.nair44@example.com,9000000296.0,cbnexus,25,DEEPAK NAIR,,919000000296,85,"exact phone, exact name",True,False,True,9000000296,9000000296,APPROVE,
naukri,17,Arjun Mishra,arjun.mishra70@example.com,9000000106.0,cbnexus,15,Arjun Mishra,,919000000106,85,"exact phone, exact name",True,False,True,9000000106,9000000106,APPROVE,
naukri,18,Meera Bhatia,meera.bhatia52@mailtest.example.org,9000000223.0,gig,8,Meera Bhatia,meera.bhatia52@mailtest.example.org,,85,"exact email, exact name",True,True,False,9000000223,,APPROVE,
naukri,12,Rahul Malhotra,rahul.malhotra69@mailtest.example.org,9000000260.0,cbnexus,7,RAHUL MALHOTRA,,919000000260,85,"exact phone, exact name",True,False,True,9000000260,9000000260,APPROVE,
naukri,28,Priya Saxena,priya.saxena61@example.com,919000000231.0,cbnexus,4,Priya Saxena,,919000000231,85,"exact phone, exact name",True,False,True,9000000231,9000000231,APPROVE,
naukri,18,Meera Bhatia,meera.bhatia52@mailtest.example.org,9000000223.0,cbnexus,19,MEERA BHATIA,,919000000223,85,"exact phone, exact name",True,False,True,9000000223,9000000223,APPROVE,
naukri,40,Isha Kapoor,isha.kapoor54@example.com,919000000295.0,gig,6,Isha Kapoor,isha.kapoor54@example.com,,85,"exact email, exact name",True,True,False,9000000295,,APPROVE,
